name,city,address,phone,email,website,rating,specialization
SSA architects,Delhi,"122, Aravali Apartments, Alaknanda New Delhi - 110019",4058 7415,saby.sen@ssa-arch,http://ssa-architects.in/,0.0,Architecture
Studio lotus,Delhi,"F 301, First Floor, Chaudhari Prem Singh House, Himmat Singh Marg, Lado Sarai, New Delhi",96434 10545,contact@studiolot,http://studiolotus.in/,0.0,Architecture
Studio28,Delhi,"A3/131, Paschim Vihar",011-25281251,contact@studioarc,http://www.studio28architecture.com/,0.0,Architecture
42 mm architecture,Delhi,"D - 102, Dr Ambedkar Colony, Andheria More, New Delhi",011-26809545,connect@42mm.in,http://www.42mm.co.in/,0.0,Architecture
SRRA design studio,Delhi,"E-31, 3rd Floor Hauz Khas Market, New Delhi, 110016",011-33075105,info@srra.in,www.srra.in,0.0,Architecture
Parag Singal Architects,Delhi,"C182, lower ground, greater kailash-I, new delhi",9811064468,info@paragsingala,http://www.paragsingalarchitects.com/,0.0,Architecture
Environment Design Consultants,Delhi,"A-194, Gujranwala Town, Part-I, Delhi- 110033",011-27111806,info@edsglobal.co,http://www.edsglobal.com/,0.0,"Architecture, Design"
Nirman Consultants,Delhi,"Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi 110020",011-26453046,nirmanconsultants,http://www.nirman.com/,0.0,Architecture
4th Dimension Studios,Delhi,"J-3/79 A, Ekta Kunj, Khirki Ext. Malviya Nagar",9999745846,info@studio4thdim,http://www.studio4thdimension.com/,0.0,Architecture
RMA architects,Delhi,"S-472, Greater Kailash Part-2",9871995352,admin@rmaarchite,http://rmaarchitects.com/,0.0,Architecture
ARCOP,Gurgaon,"Gurgaon, Haryana",0124,info@arcop.co.in,http://www.arcop.co.in,0.0,Architecture
SABS Architects and Engineers Pvt Ltd,Gurgaon,"Gurgaon, Haryana",0124-4103474,bhasker@sabs.in,http://www.sabs.in/,0.0,"Architecture, Engineering"
Jyoti Rath Associates PVT. LTD,Gurgaon,"Gurgaon, Haryana",0124-4209274,,http://www.jra.co.in/,0.0,Architecture
ADP-Architecture,Gurgaon,"Gurgaon, Haryana",0124,delhi@adp-architecture.com,http://www.adp-architecture.com/,0.0,Architecture
RSP India,Gurgaon,"Gurgaon, Haryana",0124,dvnathan@rspindia.net,http://www.rspindia.net/,0.0,Architecture
Vidhman Architects Pvt. Ltd.,Gurgaon,"Gurgaon, Haryana",0124-4053034,,,0.0,Architecture
Vastu Property and Interiors,Gurgaon,"Gurgaon, Haryana",0124-4050050,,,0.0,Interior Design
Ab Cad Consultancy Pvt. Ltd.,Gurgaon,"Gurgaon, Haryana",0124-4213049,,http://abcad.in/,0.0,Architecture
DziNexus Studio Architects & Interior Designers,Gurgaon,"Gurgaon, Haryana",95494 01863,,http://www.dzinexus.com/,0.0,"Architecture, Interior Design"
UBS Architects and Interior Designers,Gurgaon,"Gurgaon, Haryana",9999300102,,,0.0,"Architecture, Interior Design"
KALYANI AND ASSOCIATES,Gurgaon,"Gurgaon, Haryana",0124-4080623,,http://www.kalyaninassociates.com/,0.0,Architecture
Prachi Associates & Consultant,Gurgaon,"Gurgaon, Haryana",0124-4148371,info@prachiassociates.in,http://prachiassociates.in/,0.0,Architecture
Rentech Designs,Gurgaon,"Gurgaon, Haryana",0124 4291 329-30,info@rentechdesigns.com,http://www.rentechdesigns.com/,0.0,Interior Design
Sanjiv Tandon,Gurgaon,"Gurgaon, Haryana",0124,sanjiv@sanjivtandon.com,http://www.sanjivtandon.com/,0.0,Architecture
Dada Partners,Gurgaon,"Gurgaon, Haryana",0124,contact@dadapartners.com,http://www.dadapartners.com/,0.0,Architecture
Studio UA,Gurgaon,"Gurgaon, Haryana",0124,studioua@studioua.com,http://www.studioua.com,0.0,Architecture
Voyants,Gurgaon,"Gurgaon, Haryana",0124,info@voyants.in,http://www.voyants.in/,0.0,Architecture
Studio-E,Gurgaon,"Gurgaon, Haryana",0124,,http://www.studio-e.org/,0.0,Architecture
Redesign,Gurgaon,"Gurgaon, Haryana",0124,,http://www.redesign.co.in/,0.0,Interior Design
V A Architects,Gurgaon,"03,Ninex Time Center ,Suncity 54 Golf Course Road, Gurgaon",0124-4284293,info@vaadesign.co,http://vaadesign.com/,0.0,Architecture
AECOM India,Gurgaon,"9th Floor, Infinity Tower C, DLF Tower 8th Rd, Cyber City, Sector 25, Gurgaon",0124,,http://www.aecom.com/,0.0,Architecture
Vivek Logani Associates,Gurgaon,"Gurgaon, Haryana",0124 238 5853,info@architectvla.com,http://architectvla.com/,0.0,Architecture
Renarc Designs,Gurgaon,"Gurgaon, Haryana",91791 79481,,,0.0,Interior Design
DV Design Creation,Gurgaon,"Gurgaon, Haryana",9818418675,,,0.0,Design
Shriram Associates,Gurgaon,"H-4, Sushant Lok-III, sector-57, Gurgaon, Haryana 122002",0124,,,0.0,Architecture
Construction Hub,Gurgaon,"Gurgaon, Haryana",98187 74442,,,0.0,Construction
V S Architects,Gurgaon,"Gurgaon, Haryana",9718389737,,,0.0,Architecture
Apoorv Saxena,Gurgaon,"Gurgaon, Haryana",9899133902,,,0.0,Architecture
Sehgal & Associates,Gurgaon,"Gurgaon, Haryana",98115 53811,info@sehgalarchitects.com,http://www.sehgalarchitects.com/,0.0,Architecture
D'asign source,Gurgaon,"Gurgaon, Haryana",0124–4205264,operations@dasignsource.in,www.dasignsource.com,0.0,Interior Design
Design Studio,Gurgaon,"Gurgaon, Haryana",011 - 41136064,,,0.0,Design
SRG Architects,Gurgaon,"Gurgaon, Haryana",9654888898,contact@srgarchitects.in,www.srgarchitects.in,0.0,Architecture
3D Modec,Faridabad,A-2403 Green Fields Clny Faridabad,9871439000,,,0.0,"Interior Design, 3D Rendering"
3D Design & Interiors,Faridabad,"277C, Shastri Colony, Sector-19, Faridabad",9268409197,,,0.0,Interior Design
DSYN Studio,Faridabad,"1H/ 28A, N. I. T, Faridabad, 121001",8010565211,,,0.0,"Architecture, 3D Visualization"
Deepak Bisht Design,Faridabad,A- 899 Dabua Colony NIT Faridabad,9999093137,,,0.0,"Architecture, Interior Design"
MOBI Interio Solutions Pvt Ltd,Faridabad,"2073, Sec-28, Faridabad",9654984815,,,0.0,"Architecture, Interior Design"
Brain Bytes,Faridabad,SCF-1083 Sector-21B Faridabad,0129-4041083,,,0.0,"Architecture, Interior Design"
Jai Prakash,Faridabad,Faridabad,9810054228,,,0.0,Architecture
Hippo Homes,Noida,"Block-00 Noida Sector 38, Noida",07411579058,,,4.6,Interior Design
Rishi Home Interior Modular Kitchen & Furniture,Noida,"Block - G Noida Sector 9, Noida",09972372958,,,4.9,Interior Design
Saadgi Ventures LLP,Noida,"Greater Noida Supertech Capetown, Noida",08123861889,,,5.0,"Architecture, Interior Design"
Expert Floor,Noida,"Kala Pather Rod Indirapuram, Ghaziabad",08511407018,,,4.8,Interior Design
Syndicate Architects,Noida,"C 45, Gulmohar Complex, Opposite Nirulas, Atta Market, Noida - 201301",0120-2510076,,,0.0,Architecture
